"Repeat","Genotype","Treatment","Plant","Stomata","Width","Length","Ratio"
3,"Col-0","WL",3,"172",2.07,9.367,0.220988576918971
3,"Col-0","WL",3,"173",2.041,8.736,0.233630952380952
3,"Col-0","WL",3,"174",1.74,6.025,0.288796680497925
3,"Col-0","WL",3,"175",1.351,9.039,0.149463436220821
3,"Col-0","WL",3,"176",2.041,4.222,0.483420180009474
3,"Col-0","WL",3,"177",1.551,9.201,0.168568633844147
3,"Col-0","WL",3,"178",1.555,6.616,0.235036275695284
3,"Col-0","WL",3,"179",1.924,9.401,0.204659078821402
3,"Col-0","WL",3,"180",3.011,9.761,0.308472492572482
3,"Col-0","UVB",1,"241",2.701,9.32,0.28980686695279
3,"Col-0","UVB",1,"242",2.741,6.886,0.398054022654662
3,"Col-0","UVB",1,"243",3.43,10.614,0.323158093084605
3,"Col-0","UVB",1,"244",3.528,9.95,0.354572864321608
3,"Col-0","UVB",1,"245",3.233,9.674,0.334194748811247
3,"Col-0","UVB",1,"246",3.702,10.532,0.351500189897455
3,"Col-0","UVB",1,"247",3.101,9.715,0.319197117858981
3,"Col-0","UVB",1,"248",2.317,5.53,0.418987341772152
3,"Col-0","UVB",1,"249",2.441,8.348,0.292405366554863
3,"Col-0","UVB",1,"250",3.744,11.023,0.339653451873356
3,"Col-0","UVB",2,"251",3.291,11.444,0.287574274729116
3,"Col-0","UVB",2,"252",2.83,13.362,0.21179464152073
3,"Col-0","UVB",2,"253",3.354,6.796,0.493525603296056
3,"Col-0","UVB",2,"254",2.759,9.648,0.28596600331675
3,"Col-0","UVB",2,"255",3.1,8.605,0.360255665310866
3,"Col-0","UVB",2,"256",3.164,12.174,0.259898143584689
3,"Col-0","UVB",2,"257",3.054,7.234,0.422173071606304
3,"Col-0","UVB",2,"258",2.078,8.643,0.240425778086313
3,"Col-0","UVB",2,"259",3.271,10.981,0.297878153173664
3,"Col-0","UVB",2,"260",2.341,6.349,0.36871948338321
3,"Col-0","UVB",3,"261",2.598,11.431,0.227276703700464
3,"Col-0","UVB",3,"262",3.895,12.119,0.321396154798251
3,"Col-0","UVB",3,"263",2.908,9.162,0.317397948046278
3,"Col-0","UVB",3,"264",1.567,10.685,0.146654188114179
3,"Col-0","UVB",3,"265",3.019,10.482,0.288017553901927
3,"Col-0","UVB",3,"266",3.162,9.409,0.336061217982782
3,"Col-0","UVB",3,"267",2.3,8.111,0.283565528294908
3,"Col-0","UVB",3,"268",3.249,7.419,0.437929640113223
3,"Col-0","UVB",3,"269",2.221,9.003,0.246695545929135
3,"Col-0","UVB",3,"270",2.876,9.944,0.289219629927594
3,"nced3/5","PreDawn",1,"331",6.527,13.135,0.496916634944804
3,"nced3/5","PreDawn",1,"332",2.34,5.499,0.425531914893617
3,"nced3/5","PreDawn",1,"333",5.774,9.674,0.596857556336572
3,"nced3/5","PreDawn",1,"334",3.404,5.051,0.673925955256385
3,"nced3/5","PreDawn",1,"335",2.861,6.944,0.412010368663595
3,"nced3/5","PreDawn",1,"336",5.189,10.172,0.510125835627212
3,"nced3/5","PreDawn",1,"337",3.645,7.543,0.48322948429007
3,"nced3/5","PreDawn",1,"338",4.546,9.529,0.477069996851716
3,"nced3/5","PreDawn",1,"339",4.753,9.376,0.506932593856655
3,"nced3/5","PreDawn",1,"340",3.752,10.232,0.366692728694292
3,"nced3/5","PreDawn",2,"341",2.144,8.585,0.249737914967967
3,"nced3/5","PreDawn",2,"342",3.895,9.624,0.404717373233583
3,"nced3/5","PreDawn",2,"343",2.43,6.495,0.374133949191686
3,"nced3/5","PreDawn",2,"344",3.603,8.679,0.415139993086761
3,"nced3/5","PreDawn",2,"345",1.582,5.007,0.315957659277012
3,"nced3/5","PreDawn",2,"346",2.924,10.646,0.274657148224685
3,"nced3/5","PreDawn",2,"347",4.452,11.955,0.372396486825596
3,"nced3/5","PreDawn",2,"348",2.755,7.946,0.346715328467153
3,"nced3/5","PreDawn",2,"349",3.412,7.186,0.474812134706374
3,"nced3/5","PreDawn",2,"350",2.582,5.679,0.454657510125022
3,"nced3/5","PreDawn",3,"351",3.473,12.412,0.279809861424428
3,"nced3/5","PreDawn",3,"352",2.921,10.427,0.280138103001822
3,"nced3/5","PreDawn",3,"353",3.502,5.903,0.593257665593766
3,"nced3/5","PreDawn",3,"354",4.051,10.285,0.393874574623238
3,"nced3/5","PreDawn",3,"355",2.688,8.525,0.315307917888563
3,"nced3/5","PreDawn",3,"356",1.779,9.221,0.19292918338575
3,"nced3/5","PreDawn",3,"357",2.643,5.081,0.5201731942531
3,"nced3/5","PreDawn",3,"358",2.642,6.973,0.378890004302309
3,"nced3/5","PreDawn",3,"359",1.751,7.003,0.250035698986149
3,"nced3/5","PreDawn",3,"360",4.825,10.064,0.479431637519873
3,"nced3/5","WL",1,"421",3.638,9.102,0.399692375302131
3,"nced3/5","WL",1,"422",5.371,7.516,0.714608834486429
3,"nced3/5","WL",1,"423",5.344,8.148,0.65586647029946
3,"nced3/5","WL",1,"424",4.314,11.755,0.366992769034453
3,"nced3/5","WL",1,"425",2.844,6.733,0.422397148373682
3,"nced3/5","WL",1,"426",4.454,8.706,0.511601194578452
3,"nced3/5","WL",1,"427",4.156,12.86,0.323172628304821
3,"nced3/5","WL",1,"428",2.85,6.69,0.426008968609865
3,"nced3/5","WL",1,"429",3.769,6.853,0.549978111775865
3,"nced3/5","WL",1,"430",3.653,6.429,0.568206564006844
3,"nced3/5","WL",2,"431",2.248,8.153,0.275726726358396
3,"nced3/5","WL",2,"432",1.077,8.024,0.134222333000997
3,"nced3/5","WL",2,"433",1.762,8.629,0.204195155869742
3,"nced3/5","WL",2,"434",1.96,5.157,0.38006592980415
3,"nced3/5","WL",2,"435",2.207,3.861,0.571613571613572
3,"nced3/5","WL",2,"436",3.031,6.357,0.476797231398458
3,"nced3/5","WL",2,"437",1.405,5.421,0.259177273565763
3,"nced3/5","WL",2,"438",1.97,4.391,0.448644955590982
3,"nced3/5","WL",2,"439",1.192,8.495,0.140317834020012
3,"nced3/5","WL",2,"440",3.157,13.379,0.235966813663204
3,"nced3/5","WL",3,"441",3.458,7.705,0.448799480856587
3,"nced3/5","WL",3,"442",4.678,10.514,0.444930568765456
3,"nced3/5","WL",3,"443",2.875,7.303,0.393673832671505
3,"nced3/5","WL",3,"444",5.343,9.558,0.559008160703076
3,"nced3/5","WL",3,"445",3.752,9.831,0.38164988302309
3,"nced3/5","WL",3,"446",3.1,9.591,0.323219685121468
3,"nced3/5","WL",3,"447",3.348,9.794,0.341841944047376
3,"nced3/5","WL",3,"448",4.463,9.441,0.472725346891219
3,"nced3/5","WL",3,"449",3.354,5.833,0.575004285959198
3,"nced3/5","WL",3,"450",5.596,12.82,0.436505460218409
3,"nced3/5","UVB",1,"511",5.183,8.408,0.616436726926736
3,"nced3/5","UVB",1,"512",5.117,9.8,0.522142857142857
3,"nced3/5","UVB",1,"513",3.495,7.703,0.453719330131118
3,"nced3/5","UVB",1,"514",5.343,7.551,0.707588398887565
3,"nced3/5","UVB",1,"515",5.138,12.756,0.402790843524616
3,"nced3/5","UVB",1,"516",5.868,11.099,0.528696278944049
3,"nced3/5","UVB",1,"517",5.25,11.939,0.439735321216182
3,"nced3/5","UVB",1,"518",5.175,10.937,0.473164487519429
3,"nced3/5","UVB",1,"519",5.458,10.634,0.513259356780139
3,"nced3/5","UVB",1,"520",6.357,15.837,0.401401780640273
3,"nced3/5","UVB",2,"521",3.834,10.623,0.360914995763909
3,"nced3/5","UVB",2,"522",6.596,14.909,0.442417331812999
3,"nced3/5","UVB",2,"523",5.699,13.845,0.411628746840014
3,"nced3/5","UVB",2,"524",4.438,11.674,0.380161041630975
3,"nced3/5","UVB",2,"525",5.049,9.399,0.537184806894351
3,"nced3/5","UVB",2,"526",5.049,9.122,0.55349704012278
3,"nced3/5","UVB",2,"527",5.487,7.241,0.757768264051927
3,"nced3/5","UVB",2,"528",5.653,11.513,0.491010162425085
3,"nced3/5","UVB",2,"529",5.092,6.586,0.77315517764956
3,"nced3/5","UVB",2,"530",4.567,9.2,0.496413043478261
3,"nced3/5","UVB",3,"531",6.618,7.569,0.874355925485533
3,"nced3/5","UVB",3,"532",5.202,9.624,0.540523690773067
3,"nced3/5","UVB",3,"533",4.05,8.478,0.477707006369427
3,"nced3/5","UVB",3,"534",5.756,10.363,0.55543761459037
3,"nced3/5","UVB",3,"535",4.983,10.535,0.472994779307072
3,"nced3/5","UVB",3,"536",4.782,8.03,0.595516811955168
3,"nced3/5","UVB",3,"537",4.463,10.413,0.428598866801114
3,"nced3/5","UVB",3,"538",4.777,9.467,0.504594908629978
3,"nced3/5","UVB",3,"539",5.736,12.564,0.456542502387775
3,"nced3/5","UVB",3,"540",5.292,10.711,0.494071515264681
