Repeat,Plant,Genotype,Treatment,Stomata,Width,Length,Ratio
1,2,phot1/2,UVB,468,1.283,4.037,0.317810255
1,2,phot1/2,UVB,469,1.359,4.328,0.314001848
1,2,phot1/2,UVB,470,1.66,7.876,0.210766887
1,3,phot1/2,UVB,471,2.819,5.8,0.486034483
1,3,phot1/2,UVB,472,2.625,9.803,0.267775171
1,3,phot1/2,UVB,473,1.471,6.075,0.242139918
1,3,phot1/2,UVB,474,1.589,7.093,0.224023685
1,3,phot1/2,UVB,475,1.725,7.117,0.242377406
1,3,phot1/2,UVB,476,1.86,9.143,0.203434321
1,3,phot1/2,UVB,477,2.029,5.86,0.346245734
1,3,phot1/2,UVB,478,1.446,8.043,0.179783663
1,3,phot1/2,UVB,479,2.197,7.868,0.279232334
1,3,phot1/2,UVB,480,1.139,6.627,0.171872642
2,1,phot1/2,UVB,481,3.334,9.185,0.362983125
2,1,phot1/2,UVB,482,3.984,8.049,0.494968319
2,1,phot1/2,UVB,483,2.22,9.314,0.23835087
2,1,phot1/2,UVB,484,1.834,6.439,0.284826836
2,1,phot1/2,UVB,485,2.822,7.148,0.394795747
2,1,phot1/2,UVB,486,2.678,6.337,0.422597444
2,1,phot1/2,UVB,487,3.254,9.663,0.336748422
2,1,phot1/2,UVB,488,3.414,9.511,0.358952792
2,1,phot1/2,UVB,489,2.547,11.475,0.221960784
2,1,phot1/2,UVB,490,3.305,7.84,0.421556122
2,2,phot1/2,UVB,491,2.952,7.393,0.399296632
2,2,phot1/2,UVB,492,3.585,6.18,0.580097087
2,2,phot1/2,UVB,493,2.914,7.892,0.369234668
2,2,phot1/2,UVB,494,2.592,8.032,0.322709163
2,2,phot1/2,UVB,495,2.282,6.042,0.377689507
2,2,phot1/2,UVB,496,1.951,3.828,0.509665622
2,2,phot1/2,UVB,497,2.044,7.693,0.265696087
2,2,phot1/2,UVB,498,3.171,6.401,0.495391345
2,2,phot1/2,UVB,499,1.818,5.785,0.31426102
2,2,phot1/2,UVB,500,2.113,4.888,0.432283142
2,3,phot1/2,UVB,501,2.047,11.393,0.179671728
2,3,phot1/2,UVB,502,2.439,5.162,0.472491282
2,3,phot1/2,UVB,503,1.954,6.442,0.30332195
2,3,phot1/2,UVB,504,2.232,5.52,0.404347826
2,3,phot1/2,UVB,505,1.499,8.077,0.185588709
2,3,phot1/2,UVB,506,0.619,11.188,0.055327136
2,3,phot1/2,UVB,507,2.855,5.693,0.501493062
2,3,phot1/2,UVB,508,2.374,6.524,0.363887186
2,3,phot1/2,UVB,509,2.09,6.254,0.334186121
2,3,phot1/2,UVB,510,1.27,6.927,0.183340551
3,1,phot1/2,UVB,511,3.646,10.477,0.348000382
3,1,phot1/2,UVB,512,3.309,11.081,0.298619258
3,1,phot1/2,UVB,513,3.057,6.976,0.438216743
3,1,phot1/2,UVB,514,2.72,6.158,0.441701851
3,1,phot1/2,UVB,515,2.535,7.375,0.343728814
3,1,phot1/2,UVB,516,2.412,8.03,0.300373599
3,1,phot1/2,UVB,517,2.992,9.07,0.329878721
3,1,phot1/2,UVB,518,2.924,11.193,0.2612347
3,1,phot1/2,UVB,519,2.802,5.04,0.555952381
3,1,phot1/2,UVB,520,3.261,6.906,0.472198089
3,2,phot1/2,UVB,521,2.661,9.402,0.283024888
3,2,phot1/2,UVB,522,2.725,9.653,0.282295659
3,2,phot1/2,UVB,523,1.768,8.472,0.208687441
3,2,phot1/2,UVB,524,2.616,10.453,0.250263082
3,2,phot1/2,UVB,525,2.379,5.251,0.453056561
3,2,phot1/2,UVB,526,3.425,8.791,0.389603003
3,2,phot1/2,UVB,527,2.365,6.9,0.342753623
3,2,phot1/2,UVB,528,3.082,7.709,0.39979245
3,2,phot1/2,UVB,529,3.048,7.405,0.411613774
3,2,phot1/2,UVB,530,2.656,7.988,0.332498748
3,3,phot1/2,UVB,531,2.365,7.182,0.329295461
3,3,phot1/2,UVB,532,2.775,6.34,0.437697161
3,3,phot1/2,UVB,533,2.365,6.145,0.384865745
3,3,phot1/2,UVB,534,3.011,10.08,0.298710317
3,3,phot1/2,UVB,535,2.193,6.281,0.349148225
3,3,phot1/2,UVB,536,3.561,10.919,0.326128766
3,3,phot1/2,UVB,537,2.588,7.828,0.330608074
3,3,phot1/2,UVB,538,2.816,10.604,0.265560166
3,3,phot1/2,UVB,539,2.015,4.98,0.404618474
3,3,phot1/2,UVB,540,2.206,7.627,0.28923561
1,1,Col-0,PreDawn,1,1.73,11.019,0.157001543
1,1,Col-0,PreDawn,2,1.978,6.125,0.322938776
1,1,Col-0,PreDawn,3,1.681,5.312,0.316453313
1,1,Col-0,PreDawn,4,1.838,6.245,0.294315452
1,1,Col-0,PreDawn,5,1.821,5.665,0.321447485
1,1,Col-0,PreDawn,6,1.663,5.449,0.305193614
1,1,Col-0,PreDawn,7,1.006,8.949,0.112414795
1,1,Col-0,PreDawn,8,1.75,7.865,0.222504768
1,1,Col-0,PreDawn,9,1.82,6.457,0.281864643
1,1,Col-0,PreDawn,10,1.615,5.791,0.278881022
1,2,Col-0,PreDawn,11,1.767,6.926,0.255125614
1,2,Col-0,PreDawn,12,1.386,6.538,0.211991435
1,2,Col-0,PreDawn,13,2.098,9.652,0.217364277
1,2,Col-0,PreDawn,14,2.677,8.304,0.322374759
1,2,Col-0,PreDawn,15,1.109,9.243,0.11998269
1,2,Col-0,PreDawn,16,1.075,6.189,0.173695266
1,2,Col-0,PreDawn,17,1.53,6.116,0.250163506
1,2,Col-0,PreDawn,18,1.633,8.716,0.187356586
1,2,Col-0,PreDawn,19,1.423,4.989,0.285227501
1,2,Col-0,PreDawn,20,0.655,12.394,0.052848152
1,3,Col-0,PreDawn,21,0.544,9.265,0.058715596
1,3,Col-0,PreDawn,22,1.813,4.085,0.443818849
1,3,Col-0,PreDawn,23,1.775,6.189,0.28679916
1,3,Col-0,PreDawn,24,1.299,4.629,0.280622165
1,3,Col-0,PreDawn,25,1.371,4.637,0.295665301
1,3,Col-0,PreDawn,26,1.135,4.399,0.258013185
1,3,Col-0,PreDawn,27,0.79,7.587,0.104125478
1,3,Col-0,PreDawn,28,1.216,5.078,0.239464356
1,3,Col-0,PreDawn,29,1.695,5.027,0.337179232
1,3,Col-0,PreDawn,30,1.205,3.43,0.351311953
2,1,Col-0,PreDawn,31,2.098,9.446,0.222104595
2,1,Col-0,PreDawn,32,2.266,5.73,0.395462478
2,1,Col-0,PreDawn,33,1.674,7.024,0.23832574
2,1,Col-0,PreDawn,34,2.34,6.132,0.381604697
2,1,Col-0,PreDawn,35,1.878,4.936,0.380470016
2,1,Col-0,PreDawn,36,1.891,6.574,0.287648312
2,1,Col-0,PreDawn,37,1.6,9.183,0.174234999
2,1,Col-0,PreDawn,38,1.656,7.247,0.228508348
2,1,Col-0,PreDawn,39,1.604,9.656,0.166114333
2,1,Col-0,PreDawn,40,1.554,4.378,0.354956601
2,2,Col-0,PreDawn,41,1.636,7.529,0.217293133
2,2,Col-0,PreDawn,42,1.476,6.719,0.219675547
2,2,Col-0,PreDawn,43,2.113,8.487,0.248969011
2,2,Col-0,PreDawn,44,1.506,8.561,0.175914029
2,2,Col-0,PreDawn,45,1.805,9.266,0.194798187
2,2,Col-0,PreDawn,46,2.155,12.193,0.176740753
2,2,Col-0,PreDawn,47,1.775,9.203,0.19287189
2,2,Col-0,PreDawn,48,2.324,7.44,0.312365591
2,2,Col-0,PreDawn,49,2.074,13.025,0.159232246
2,2,Col-0,PreDawn,50,1.777,4.347,0.40878767
2,3,Col-0,PreDawn,51,1.343,9.312,0.144222509
2,3,Col-0,PreDawn,52,1.157,10.392,0.111335643
2,3,Col-0,PreDawn,53,1.079,8.198,0.131617468
2,3,Col-0,PreDawn,54,2.013,10.519,0.191368001
2,3,Col-0,PreDawn,55,1.627,5.863,0.277502985
2,3,Col-0,PreDawn,56,1.59,6.244,0.254644459
2,3,Col-0,PreDawn,57,1.464,4.283,0.341816484
2,3,Col-0,PreDawn,58,1.738,4.48,0.387946429
2,3,Col-0,PreDawn,59,1.215,3.573,0.340050378
2,3,Col-0,PreDawn,60,2.363,6.768,0.349143026
3,1,Col-0,PreDawn,61,2.209,5.784,0.381915629
3,1,Col-0,PreDawn,62,2.049,11.144,0.183865757
3,1,Col-0,PreDawn,63,2.243,11.311,0.198302537
3,1,Col-0,PreDawn,64,1.717,10.692,0.160587355
3,1,Col-0,PreDawn,65,1.775,5.381,0.329864337
3,1,Col-0,PreDawn,66,2.57,9.735,0.263995891
3,1,Col-0,PreDawn,67,2.412,11.897,0.202740187
3,1,Col-0,PreDawn,68,0.931,10.188,0.091382018
3,1,Col-0,PreDawn,69,1.777,12.652,0.140452102
3,1,Col-0,PreDawn,70,0.793,9.342,0.084885463
3,2,Col-0,PreDawn,71,1.775,10.812,0.164169441
3,2,Col-0,PreDawn,72,2.248,8.891,0.252839951
3,2,Col-0,PreDawn,73,2.585,8.954,0.288697789
3,2,Col-0,PreDawn,74,2.141,6.399,0.334583529
3,2,Col-0,PreDawn,75,1.952,9.335,0.209105517
3,2,Col-0,PreDawn,76,1.642,8.706,0.188605559
3,2,Col-0,PreDawn,77,0.906,4.067,0.222768626
3,2,Col-0,PreDawn,78,2.627,8.049,0.326375947
3,2,Col-0,PreDawn,79,1.382,5.906,0.233999323
3,2,Col-0,PreDawn,80,1.354,5.025,0.269452736
3,3,Col-0,PreDawn,81,2.113,5.565,0.379694519
3,3,Col-0,PreDawn,82,2.071,9.549,0.216881349
3,3,Col-0,PreDawn,83,1.506,8.313,0.181162035
3,3,Col-0,PreDawn,84,1.37,6.558,0.208905154
3,3,Col-0,PreDawn,85,1.391,7.275,0.191202749
3,3,Col-0,PreDawn,86,2.063,9.726,0.212111865
3,3,Col-0,PreDawn,87,1.99,7.44,0.267473118
3,3,Col-0,PreDawn,88,1.978,9.855,0.200710299
3,3,Col-0,PreDawn,89,2.155,7.438,0.289728422
3,3,Col-0,PreDawn,90,2.263,6.781,0.333726589
1,1,Col-0,WL,91,1.534,5.629,0.272517321
1,1,Col-0,WL,92,1.329,4.803,0.276702061
1,1,Col-0,WL,93,1.039,3.055,0.3400982
1,1,Col-0,WL,94,1.135,4.539,0.250055078
1,1,Col-0,WL,95,2.091,5.045,0.414469772
1,1,Col-0,WL,96,1.949,4.504,0.432726465
1,1,Col-0,WL,97,2.404,6.445,0.373002327
1,1,Col-0,WL,98,1.292,8.017,0.16115754
1,1,Col-0,WL,99,1.595,5.386,0.296138136
1,1,Col-0,WL,100,1.909,4.686,0.407383696
1,2,Col-0,WL,101,2.288,4.467,0.512200582
1,2,Col-0,WL,102,1.605,4.383,0.366187543
1,2,Col-0,WL,103,1.749,5.736,0.304916318
1,2,Col-0,WL,104,1.824,4.826,0.377952756
1,2,Col-0,WL,105,2.192,8.596,0.255002327
1,2,Col-0,WL,106,2.235,4.243,0.526749941
1,2,Col-0,WL,107,2.02,4.034,0.500743679
1,2,Col-0,WL,108,2.131,4.556,0.467734855
1,2,Col-0,WL,109,2.421,4.493,0.538838193
1,2,Col-0,WL,110,2.638,6.169,0.427621981
1,3,Col-0,WL,111,2.014,11.619,0.173336776
1,3,Col-0,WL,112,1.288,4.96,0.259677419
1,3,Col-0,WL,113,1.779,4.327,0.411139358
1,3,Col-0,WL,114,2.043,6.377,0.32037008
1,3,Col-0,WL,115,1.669,4.086,0.408467939
1,3,Col-0,WL,116,1.662,3.61,0.460387812
1,3,Col-0,WL,117,0.982,11.817,0.083100618
1,3,Col-0,WL,118,2.493,7.843,0.317863063
1,3,Col-0,WL,119,2.39,7.355,0.324949014
1,3,Col-0,WL,120,2.857,8.76,0.326141553
2,1,Col-0,WL,121,2.716,7.885,0.34445149
2,1,Col-0,WL,122,2.139,4.956,0.431598063
2,1,Col-0,WL,123,2.409,7.214,0.333934017
2,1,Col-0,WL,124,1.463,7.248,0.201848786
2,1,Col-0,WL,125,1.402,5.918,0.23690436
2,1,Col-0,WL,126,1.799,7.939,0.226602847
2,1,Col-0,WL,127,2.042,5.457,0.374198277
2,1,Col-0,WL,128,2.195,5.759,0.381142559
2,1,Col-0,WL,129,1.595,8.018,0.198927413
2,1,Col-0,WL,130,1.487,6.805,0.218515797
2,2,Col-0,WL,131,2.111,5.885,0.358708581
2,2,Col-0,WL,132,2.934,9.492,0.309102402
2,2,Col-0,WL,133,2.68,8.376,0.319961796
2,2,Col-0,WL,134,2.24,5.797,0.386406762
2,2,Col-0,WL,135,2.728,7.99,0.341426783
2,2,Col-0,WL,136,3.364,8.088,0.415924827
2,2,Col-0,WL,137,2.436,5.975,0.407698745
2,2,Col-0,WL,138,2.692,6.116,0.440156965
2,2,Col-0,WL,139,3.282,8.331,0.393950306
2,2,Col-0,WL,140,2.696,9.443,0.285502489
2,3,Col-0,WL,141,1.672,8.864,0.188628159
2,3,Col-0,WL,142,2.713,8.329,0.325729379
2,3,Col-0,WL,143,2.23,9.729,0.229211635
2,3,Col-0,WL,144,2.005,7.77,0.258043758
2,3,Col-0,WL,145,2.587,6.482,0.399105214
2,3,Col-0,WL,146,2.488,7.957,0.312680659
2,3,Col-0,WL,147,2.55,7.444,0.342557765
2,3,Col-0,WL,148,2.365,8.54,0.276932084
2,3,Col-0,WL,149,2.315,8.53,0.271395076
2,3,Col-0,WL,150,2.619,5.851,0.447615792
3,1,Col-0,WL,151,1.854,9.199,0.201543646
3,1,Col-0,WL,152,2.764,10.741,0.25733172
3,1,Col-0,WL,153,2.792,6.698,0.416840848
3,1,Col-0,WL,154,1.983,9.225,0.21495935
3,1,Col-0,WL,155,1.781,9.476,0.187948501
3,1,Col-0,WL,156,2.098,7.154,0.29326251
3,1,Col-0,WL,157,2.856,6.781,0.421176818
3,1,Col-0,WL,158,2.514,7.645,0.328842381
3,1,Col-0,WL,159,1.978,7.089,0.27902384
3,1,Col-0,WL,160,2.071,7.459,0.27765116
3,2,Col-0,WL,161,2.407,12.382,0.19439509
3,2,Col-0,WL,162,3.896,8.56,0.455140187
3,2,Col-0,WL,163,1.27,11.275,0.112638581
3,2,Col-0,WL,164,1.724,8.107,0.21265573
3,2,Col-0,WL,165,2.162,9.664,0.223716887
3,2,Col-0,WL,166,1.899,3.737,0.508161627
3,2,Col-0,WL,167,2.702,10.706,0.252381842
3,2,Col-0,WL,168,1.984,6.689,0.296606369
3,2,Col-0,WL,169,2.733,9.344,0.292487158
3,2,Col-0,WL,170,2.683,5.503,0.487552244
3,3,Col-0,WL,171,2.746,8.306,0.330604382
3,3,Col-0,WL,172,2.672,6.425,0.415875486
3,3,Col-0,WL,173,2.417,11.251,0.214825349
3,3,Col-0,WL,174,2.454,9.415,0.260647902
3,3,Col-0,WL,175,3.839,11.686,0.32851275
3,3,Col-0,WL,176,2.7,6.244,0.432415119
3,3,Col-0,WL,177,1.601,10.333,0.154940482
3,3,Col-0,WL,178,1.222,11.01,0.110990009
3,3,Col-0,WL,179,2.684,7.316,0.366867141
3,3,Col-0,WL,180,3.316,9.408,0.352465986
1,1,Col-0,UVB,181,2.241,6.312,0.355038023
1,1,Col-0,UVB,182,3.597,12.461,0.288660621
1,1,Col-0,UVB,183,2.326,6.333,0.367282489
1,1,Col-0,UVB,184,2.275,6.596,0.344906004
1,1,Col-0,UVB,185,2.377,5.896,0.403154681
1,1,Col-0,UVB,186,1.856,5.85,0.317264957
1,1,Col-0,UVB,187,2.348,10.181,0.230625675
1,1,Col-0,UVB,188,2.338,5.62,0.416014235
1,1,Col-0,UVB,189,2.043,4.605,0.443648208
1,1,Col-0,UVB,190,1.199,5.022,0.238749502
1,2,Col-0,UVB,191,2.672,11.71,0.228181042
1,2,Col-0,UVB,192,1.932,7.048,0.274120318
1,2,Col-0,UVB,193,2.175,5.869,0.370591242
1,2,Col-0,UVB,194,2.698,10.194,0.26466549
1,2,Col-0,UVB,195,1.892,4.443,0.425838397
1,2,Col-0,UVB,196,1.873,7.598,0.24651224
1,2,Col-0,UVB,197,1.418,4.986,0.28439631
1,2,Col-0,UVB,198,1.641,3.987,0.41158766
1,2,Col-0,UVB,199,2.213,5.836,0.379198081
1,2,Col-0,UVB,200,1.872,6.748,0.277415531
1,3,Col-0,UVB,201,1.946,5.472,0.355628655
1,3,Col-0,UVB,202,1.984,6.992,0.28375286
1,3,Col-0,UVB,203,1.403,6.266,0.223906799
1,3,Col-0,UVB,204,3.633,9.919,0.366266761
1,3,Col-0,UVB,205,2.298,7.892,0.291180943
1,3,Col-0,UVB,206,2.994,9.917,0.301905818
1,3,Col-0,UVB,207,2.831,5.826,0.485925163
1,3,Col-0,UVB,208,1.69,4.317,0.391475562
1,3,Col-0,UVB,209,2.039,6.936,0.293973472
1,3,Col-0,UVB,210,2.241,8.091,0.276974416
2,1,Col-0,UVB,211,3.476,8.292,0.419199228
2,1,Col-0,UVB,212,5.593,12.668,0.441506157
2,1,Col-0,UVB,213,4.391,8.526,0.515012902
2,1,Col-0,UVB,214,4.449,6.637,0.670332982
2,1,Col-0,UVB,215,2.833,6.347,0.446352608
2,1,Col-0,UVB,216,2.81,7.436,0.377891339
2,1,Col-0,UVB,217,4.076,11.166,0.365036719
2,1,Col-0,UVB,218,2.78,6.486,0.428615479
2,1,Col-0,UVB,219,3.314,9.442,0.350984961
2,1,Col-0,UVB,220,3.081,9.84,0.313109756
2,2,Col-0,UVB,221,3.816,9.953,0.383401989
2,2,Col-0,UVB,222,4.43,12.169,0.364039773
2,2,Col-0,UVB,223,3.17,9.157,0.346183248
2,2,Col-0,UVB,224,3.805,8.925,0.426330532
2,2,Col-0,UVB,225,4.304,8.58,0.501631702
2,2,Col-0,UVB,226,3.498,8.935,0.391494124
2,2,Col-0,UVB,227,3.873,8.7,0.445172414
2,2,Col-0,UVB,228,3.875,7.871,0.492313556
2,2,Col-0,UVB,229,4.814,10.291,0.467787387
2,2,Col-0,UVB,230,3.415,8.785,0.388730791
2,3,Col-0,UVB,231,3.822,7.683,0.497461929
2,3,Col-0,UVB,232,4.352,10.349,0.420523722
2,3,Col-0,UVB,233,2.584,6.871,0.376073352
2,3,Col-0,UVB,234,4.315,12.24,0.35253268
2,3,Col-0,UVB,235,3.005,7.145,0.420573828
2,3,Col-0,UVB,236,3.666,5.777,0.634585425
2,3,Col-0,UVB,237,3.514,9.523,0.369001365
2,3,Col-0,UVB,238,3.766,6.637,0.567425041
2,3,Col-0,UVB,239,5.625,14.217,0.395653091
2,3,Col-0,UVB,240,3.766,8.611,0.437347579
3,1,Col-0,UVB,241,3.328,9.495,0.350500263
3,1,Col-0,UVB,242,4.079,9.712,0.419995881
3,1,Col-0,UVB,243,3.147,9.205,0.341879413
3,1,Col-0,UVB,244,3.467,7.912,0.438195147
3,1,Col-0,UVB,245,2.495,5.437,0.458892772
3,1,Col-0,UVB,246,2.93,9.74,0.300821355
3,1,Col-0,UVB,247,3.074,8.42,0.365083135
3,1,Col-0,UVB,248,2.666,6.145,0.433848657
3,1,Col-0,UVB,249,2.633,7.872,0.334476626
3,1,Col-0,UVB,250,3.257,10.694,0.304563307
3,2,Col-0,UVB,251,1.496,5.035,0.297120159
3,2,Col-0,UVB,252,2.971,9.059,0.327961144
3,2,Col-0,UVB,253,3.031,7.055,0.42962438
3,2,Col-0,UVB,254,2.885,9.491,0.303972184
3,2,Col-0,UVB,255,2.7,10.042,0.268870743
3,2,Col-0,UVB,256,2.804,8.967,0.31270213
3,2,Col-0,UVB,257,1.632,6.827,0.239050828
3,2,Col-0,UVB,258,2.71,5.99,0.452420701
3,2,Col-0,UVB,259,2.616,7.312,0.357768053
3,2,Col-0,UVB,260,2.293,6.195,0.370137207
3,3,Col-0,UVB,261,3.09,8.876,0.348129788
3,3,Col-0,UVB,262,2.809,7.27,0.386382393
3,3,Col-0,UVB,263,2.924,11.77,0.248428207
3,3,Col-0,UVB,264,3.005,8.32,0.361177885
3,3,Col-0,UVB,265,2.661,6.397,0.415976239
3,3,Col-0,UVB,266,4.112,8.302,0.495302337
3,3,Col-0,UVB,267,3.777,16.167,0.233624049
3,3,Col-0,UVB,268,3.22,8.092,0.397923875
3,3,Col-0,UVB,269,3.248,9.502,0.341822774
3,3,Col-0,UVB,270,3.253,12.136,0.268045485
1,1,phot1/2,PreDawn,271,1.98,6.139,0.322528099
1,1,phot1/2,PreDawn,272,1.946,5.255,0.370313987
1,1,phot1/2,PreDawn,273,2.519,7.227,0.348554033
1,1,phot1/2,PreDawn,274,2.009,4.621,0.434754382
1,1,phot1/2,PreDawn,275,1.715,5.86,0.292662116
1,1,phot1/2,PreDawn,276,2.197,4.516,0.486492471
1,1,phot1/2,PreDawn,277,2.447,9.745,0.25110313
1,1,phot1/2,PreDawn,278,1.301,8.545,0.152252779
1,1,phot1/2,PreDawn,279,2.736,7.115,0.384539705
1,1,phot1/2,PreDawn,280,1.905,5.557,0.342810869
1,2,phot1/2,PreDawn,281,3.567,10.789,0.330614515
1,2,phot1/2,PreDawn,282,2.562,7.838,0.326869099
1,2,phot1/2,PreDawn,283,1.946,8.834,0.220285261
1,2,phot1/2,PreDawn,284,1.767,6.453,0.273826127
1,2,phot1/2,PreDawn,285,2.235,10.061,0.222144916
1,2,phot1/2,PreDawn,286,1.359,4.109,0.330737406
1,2,phot1/2,PreDawn,287,2.458,10.358,0.237304499
1,2,phot1/2,PreDawn,288,1.962,8.548,0.229527375
1,2,phot1/2,PreDawn,289,1.423,6.967,0.204248601
1,2,phot1/2,PreDawn,290,2.889,9.515,0.303625854
1,3,phot1/2,PreDawn,291,2.288,11.808,0.193766938
1,3,phot1/2,PreDawn,292,1.289,8.76,0.147146119
1,3,phot1/2,PreDawn,293,2.006,8.253,0.243063129
1,3,phot1/2,PreDawn,294,1.864,5.883,0.316845147
1,3,phot1/2,PreDawn,295,2.404,6.574,0.365682994
1,3,phot1/2,PreDawn,296,0.972,3.221,0.301769637
1,3,phot1/2,PreDawn,297,2.218,6.402,0.346454233
1,3,phot1/2,PreDawn,298,1.86,9.503,0.195727665
1,3,phot1/2,PreDawn,299,1.153,4.926,0.234064149
1,3,phot1/2,PreDawn,300,3.236,7.992,0.404904905
2,1,phot1/2,PreDawn,301,1.116,3.28,0.340243902
2,1,phot1/2,PreDawn,302,3.326,6.517,0.510357526
2,1,phot1/2,PreDawn,303,2.233,7.592,0.294125395
2,1,phot1/2,PreDawn,304,4.245,10.336,0.410700464
2,1,phot1/2,PreDawn,305,3.095,8.889,0.348183148
2,1,phot1/2,PreDawn,306,3.294,9.703,0.339482634
2,1,phot1/2,PreDawn,307,3.599,7.422,0.484909728
2,1,phot1/2,PreDawn,308,2.406,4.847,0.496389519
2,1,phot1/2,PreDawn,309,2.5,9.089,0.275057762
2,1,phot1/2,PreDawn,310,2.32,6.534,0.35506581
2,2,phot1/2,PreDawn,311,2.538,9.079,0.279546206
2,2,phot1/2,PreDawn,312,1.759,4.967,0.354137306
2,2,phot1/2,PreDawn,313,2.563,11.178,0.229289676
2,2,phot1/2,PreDawn,314,2.413,6.929,0.3482465
2,2,phot1/2,PreDawn,315,1.582,8.849,0.178777263
2,2,phot1/2,PreDawn,316,2.488,9.469,0.262752139
2,2,phot1/2,PreDawn,317,2.363,6.234,0.379050369
2,2,phot1/2,PreDawn,318,1.838,6.165,0.298134631
2,2,phot1/2,PreDawn,319,1.343,8.78,0.152961276
2,2,phot1/2,PreDawn,320,1.785,6.625,0.269433962
2,3,phot1/2,PreDawn,321,2.754,7.865,0.350158932
2,3,phot1/2,PreDawn,322,1.582,7.041,0.224683994
2,3,phot1/2,PreDawn,323,3.802,6.984,0.544387171
2,3,phot1/2,PreDawn,324,1.527,5.869,0.26018061
2,3,phot1/2,PreDawn,325,1.64,4.769,0.343887607
2,3,phot1/2,PreDawn,326,1.668,4.611,0.361743656
2,3,phot1/2,PreDawn,327,1.745,4.362,0.400045851
2,3,phot1/2,PreDawn,328,2.455,7.656,0.320663532
2,3,phot1/2,PreDawn,329,1.866,8.743,0.213427885
2,3,phot1/2,PreDawn,330,1.596,6.679,0.238957928
3,1,phot1/2,PreDawn,331,1.878,12.51,0.150119904
3,1,phot1/2,PreDawn,332,2.038,7.271,0.280291569
3,1,phot1/2,PreDawn,333,2.301,9.008,0.255439609
3,1,phot1/2,PreDawn,334,1.527,7.027,0.217304682
3,1,phot1/2,PreDawn,335,1.983,6.903,0.287266406
3,1,phot1/2,PreDawn,336,2.641,9.238,0.285884391
3,1,phot1/2,PreDawn,337,2.113,6.609,0.319715539
3,1,phot1/2,PreDawn,338,2.563,5.969,0.429385157
3,1,phot1/2,PreDawn,339,2.678,6.708,0.399224806
3,1,phot1/2,PreDawn,340,2.116,8.493,0.249146356
3,2,phot1/2,PreDawn,341,2.53,8.679,0.291508238
3,2,phot1/2,PreDawn,342,2.345,13.734,0.170744139
3,2,phot1/2,PreDawn,343,3.15,7.317,0.430504305
3,2,phot1/2,PreDawn,344,3.095,12.645,0.244760775
3,2,phot1/2,PreDawn,345,2.069,6.042,0.342436279
3,2,phot1/2,PreDawn,346,1.813,8.926,0.203114497
3,2,phot1/2,PreDawn,347,2.506,8.508,0.294546309
3,2,phot1/2,PreDawn,348,1.83,10.455,0.175035868
3,2,phot1/2,PreDawn,349,1.184,5.266,0.224838587
3,2,phot1/2,PreDawn,350,1.227,3.709,0.330816932
3,3,phot1/2,PreDawn,351,1.874,5.948,0.315063887
3,3,phot1/2,PreDawn,352,2.248,6.752,0.332938389
3,3,phot1/2,PreDawn,353,0.673,11.964,0.05625209
3,3,phot1/2,PreDawn,354,2.561,7.562,0.338667019
3,3,phot1/2,PreDawn,355,2.208,10.901,0.202550225
3,3,phot1/2,PreDawn,356,1.525,8.688,0.175529466
3,3,phot1/2,PreDawn,357,3.355,9.447,0.355139198
3,3,phot1/2,PreDawn,358,1.647,8.424,0.195512821
3,3,phot1/2,PreDawn,359,1.59,7.477,0.212652133
3,3,phot1/2,PreDawn,360,1.94,6.401,0.303077644
1,1,phot1/2,WL,361,1.23,6.879,0.178805059
1,1,phot1/2,WL,362,2.119,4.794,0.442010847
1,1,phot1/2,WL,363,1.29,6.391,0.201846346
1,1,phot1/2,WL,364,3.394,9.82,0.345621181
1,1,phot1/2,WL,365,1.567,5.787,0.270779333
1,1,phot1/2,WL,366,1.875,4.503,0.416389074
1,1,phot1/2,WL,367,1.924,3.927,0.489941431
1,1,phot1/2,WL,368,1.787,3.55,0.503380282
1,1,phot1/2,WL,369,2.587,5.671,0.456180568
1,1,phot1/2,WL,370,1.835,4.928,0.372362013
1,2,phot1/2,WL,371,1.986,4.213,0.471398054
1,2,phot1/2,WL,372,2.969,6.46,0.459597523
1,2,phot1/2,WL,373,1.353,6.818,0.198445292
1,2,phot1/2,WL,374,1.539,7.897,0.194884133
1,2,phot1/2,WL,375,1.788,4.255,0.420211516
1,2,phot1/2,WL,376,2.667,5.725,0.465851528
1,2,phot1/2,WL,377,1.775,8.525,0.208211144
1,2,phot1/2,WL,378,1.787,6.28,0.28455414
1,2,phot1/2,WL,379,2.429,7.639,0.317973557
1,2,phot1/2,WL,380,3.639,7.434,0.489507667
1,3,phot1/2,WL,381,2.313,5.398,0.428492034
1,3,phot1/2,WL,382,1.739,8.625,0.201623188
1,3,phot1/2,WL,383,1.607,7.594,0.211614432
1,3,phot1/2,WL,384,2.107,5.404,0.389896373
1,3,phot1/2,WL,385,2.2,4.705,0.467587673
1,3,phot1/2,WL,386,1.397,6.643,0.210296553
1,3,phot1/2,WL,387,1.152,4.692,0.245524297
1,3,phot1/2,WL,388,1.944,5.543,0.35071261
1,3,phot1/2,WL,389,1.685,4.045,0.416563659
1,3,phot1/2,WL,390,1.23,5.155,0.238603298
2,1,phot1/2,WL,391,2.553,6.081,0.419832264
2,1,phot1/2,WL,392,2.76,6.143,0.449291877
2,1,phot1/2,WL,393,2.707,6.428,0.421126322
